id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
123,Running,"Wed, 3 Aug 2016 8:51 PM",36:43,3.61,,10.11,148.0,173.0,,559.0
124,Running,"Wed, 3 Aug 2016 8:41 PM",6:42,0.72,,9.22,121.0,137.0,,70.0
125,Running,"Tue, 2 Aug 2016 9:54 PM",7:31,0.87,,8.36,139.0,163.0,,100.0
126,Cardio,"Tue, 2 Aug 2016 8:35 PM",1:18:08,,,,105.0,149.0,,661.0
127,Cardio,"Sat, 30 Jul 2016 8:35 PM",17:11,,,,101.0,131.0,,134.0
128,Cardio,"Thu, 28 Jul 2016 7:26 PM",1:23:18,,,,114.0,167.0,,833.0
129,Cardio,"Wed, 27 Jul 2016 9:17 PM",41:10,,,,124.0,152.0,,483.0
130,Running,"Tue, 26 Jul 2016 8:41 PM",35:20,3.97,,8.54,147.0,166.0,,541.0
131,Cardio,"Mon, 25 Jul 2016 8:47 PM",1:14:11,,,,112.0,147.0,,717.0
132,Cardio,"Sat, 23 Jul 2016 8:13 PM",1:56:35,,,,123.0,178.0,,1341.0
133,Cardio,"Fri, 22 Jul 2016 8:50 PM",37:41,,,,111.0,135.0,,359.0
134,Cardio,"Wed, 20 Jul 2016 9:06 PM",1:03:28,,,,121.0,157.0,,710.0
135,Cardio,"Tue, 19 Jul 2016 8:26 PM",1:37:07,,,,116.0,166.0,,1000.0
136,Cardio,"Mon, 18 Jul 2016 8:51 PM",1:13:57,,,,124.0,163.0,,860.0
137,Cardio,"Sat, 16 Jul 2016 8:41 PM",1:05:58,,,,113.0,154.0,,651.0
138,Cardio,"Fri, 15 Jul 2016 8:22 PM",1:35:06,,,,108.0,176.0,,812.0
139,Cardio,"Thu, 14 Jul 2016 8:39 PM",1:23:44,,,,123.0,183.0,,962.0
140,Running,"Wed, 13 Jul 2016 9:17 PM",33:07,3.05,,10.51,141.0,159.0,,476.0
141,Cardio,"Wed, 13 Jul 2016 8:31 PM",29:46,,,,94.0,142.0,,200.0
142,Cardio,"Tue, 12 Jul 2016 8:46 PM",50:10,,,,118.0,165.0,,539.0
143,Cardio,"Mon, 11 Jul 2016 9:19 PM",25:48,,,,110.0,143.0,,241.0
144,Cardio,"Mon, 11 Jul 2016 8:42 PM",19:31,,,,105.0,144.0,,165.0
145,Running,"Mon, 11 Jul 2016 8:29 PM",12:50,1.4,,9.11,133.0,153.0,,163.0
146,Cardio,"Sat, 9 Jul 2016 6:35 PM",1:22:42,,,,118.0,158.0,,887.0
147,Cardio,"Fri, 8 Jul 2016 6:41 PM",1:00:05,,,,112.0,133.0,,587.0
148,Cardio,"Thu, 7 Jul 2016 11:05 AM",1:49:19,,,,122.0,175.0,,1250.0
149,Cardio,"Wed, 6 Jul 2016 9:50 PM",1:01:54,,,,93.0,142.0,,407.0
150,Cardio,"Tue, 5 Jul 2016 8:10 PM",1:26:26,,,,100.0,134.0,,674.0
151,Cardio,"Tue, 5 Jul 2016 6:50 PM",1:07:58,,,,113.0,160.0,,674.0
152,Cardio,"Mon, 4 Jul 2016 8:42 PM",2:10:45,,,,118.0,157.0,,1405.0
153,Cardio,"Sat, 2 Jul 2016 1:20 PM",1:47:08,,,,113.0,146.0,,1046.0
154,Cardio,"Mon, 27 Jun 2016 8:32 PM",2:13:39,,,,124.0,181.0,,1567.0
155,Cardio,"Sat, 25 Jun 2016 7:58 PM",2:03:22,,,,108.0,157.0,,1123.0
156,Cardio,"Fri, 17 Jun 2016 6:35 PM",1:20:06,,,,106.0,174.0,,693.0
157,Cardio,"Thu, 16 Jun 2016 9:05 PM",51:47,,,,104.0,141.0,,434.0
158,Cardio,"Mon, 13 Jun 2016 9:30 PM",56:21,,,,123.0,174.0,,647.0
159,Cardio,"Sun, 12 Jun 2016 7:40 AM",1:13:41,,,,135.0,166.0,,995.0
160,Cardio,"Sat, 11 Jun 2016 7:04 PM",1:34:03,,,,114.0,147.0,,951.0
161,Cardio,"Fri, 10 Jun 2016 6:14 PM",1:42:25,,,,110.0,166.0,,953.0
162,Cardio,"Thu, 9 Jun 2016 8:20 PM",1:56:46,,,,116.0,168.0,,1215.0
163,Cardio,"Mon, 6 Jun 2016 8:43 PM",1:24:32,,,,128.0,170.0,,1042.0
164,Cardio,"Sat, 4 Jun 2016 7:40 PM",1:41:49,,,,109.0,166.0,,948.0
165,Cardio,"Sat, 4 Jun 2016 5:04 PM",2:06:03,,,,128.0,174.0,,1556.0
166,Cardio,"Thu, 2 Jun 2016 8:44 PM",1:52:55,,,,121.0,161.0,,1263.0
167,Cardio,"Sat, 28 May 2016 8:30 PM",1:15:20,,,,112.0,157.0,,731.0
168,Cardio,"Fri, 27 May 2016 7:34 PM",3:23:57,,,,106.0,184.0,,1767.0
169,Cardio,"Tue, 24 May 2016 10:21 PM",20:05,,,,112.0,131.0,,193.0
170,Cardio,"Mon, 23 May 2016 8:40 PM",2:05:48,,,,116.0,166.0,,1315.0
171,Cardio,"Sat, 21 May 2016 7:49 PM",1:49:52,,,,111.0,160.0,,1044.0
172,Cardio,"Fri, 20 May 2016 8:09 PM",1:22:27,,,,109.0,156.0,,754.0
173,Cardio,"Fri, 20 May 2016 6:58 PM",25:05,,,,97.0,148.0,,180.0
174,Cardio,"Thu, 19 May 2016 8:10 PM",1:02:40,,,,106.0,156.0,,548.0
175,Cardio,"Wed, 18 May 2016 8:22 PM",1:29:09,,,,109.0,170.0,,815.0
176,Cardio,"Tue, 17 May 2016 7:09 PM",25:01,,,,122.0,147.0,,284.0
177,Cardio,"Mon, 16 May 2016 8:47 PM",1:52:45,,,,117.0,182.0,,1178.0
178,Cardio,"Sat, 14 May 2016 6:32 PM",1:19:03,,,,114.0,145.0,,789.0
179,Cardio,"Fri, 13 May 2016 8:09 PM",1:07:16,,,,117.0,148.0,,702.0
180,Cardio,"Fri, 13 May 2016 6:41 PM",1:12:14,,,,133.0,171.0,,945.0
181,Cardio,"Wed, 11 May 2016 7:50 PM",1:38:32,,,,108.0,143.0,,892.0
182,Cardio,"Mon, 9 May 2016 8:45 PM",1:30:06,,,,119.0,178.0,,958.0
183,Running,"Sun, 8 May 2016 7:35 PM",1:10:24,8.51,,8.17,153.0,164.0,,1136.0
184,Cardio,"Sat, 7 May 2016 7:50 PM",1:35:31,,,,104.0,160.0,,803.0
185,Cardio,"Fri, 6 May 2016 7:52 PM",2:25:46,,,,106.0,170.0,,1243.0
186,Cardio,"Fri, 6 May 2016 7:14 PM",20:02,,,,126.0,177.0,,233.0
187,Running,"Fri, 6 May 2016 6:30 PM",31:59,3.91,,8.11,148.0,167.0,,485.0
188,Cardio,"Thu, 5 May 2016 8:30 PM",1:47:38,,,,116.0,160.0,,1099.0
189,Cardio,"Wed, 4 May 2016 8:32 PM",1:39:25,,,,115.0,172.0,,999.0
190,Cardio,"Tue, 3 May 2016 7:49 PM",17:04,,,,115.0,129.0,,168.0
191,Running,"Tue, 3 May 2016 7:12 PM",26:52,3.26,,8.14,153.0,167.0,,428.0
192,Cardio,"Mon, 2 May 2016 8:23 PM",1:58:21,,,,117.0,154.0,,1222.0
193,Cardio,"Sat, 30 Apr 2016 6:54 PM",1:25:23,,,,102.0,149.0,,685.0
194,Cardio,"Thu, 28 Apr 2016 8:26 PM",1:31:10,,,,115.0,154.0,,915.0
195,Cardio,"Wed, 27 Apr 2016 8:07 PM",1:39:20,,,,111.0,162.0,,930.0
196,Cardio,"Tue, 26 Apr 2016 8:28 PM",44:48,,,,105.0,141.0,,379.0
197,Running,"Tue, 26 Apr 2016 7:19 PM",30:35,3.49,,8.46,152.0,175.0,,483.0
198,Cardio,"Mon, 25 Apr 2016 8:50 PM",1:34:11,,,,122.0,173.0,,1050.0
199,Running,"Sun, 24 Apr 2016 6:44 PM",46:44,4.78,105.0,9.47,,,7282.0,636.0
200,Cardio,"Sat, 23 Apr 2016 8:37 PM",1:31:42,,,,110.0,151.0,,849.0
201,Cardio,"Sat, 23 Apr 2016 8:14 AM",1:02:57,,,,85.0,119.0,,328.0
202,Running,"Fri, 22 Apr 2016 7:18 PM",39:30,4.01,,9.51,137.0,159.0,,532.0
203,Cardio,"Wed, 20 Apr 2016 8:39 PM",1:34:01,,,,113.0,176.0,,909.0
204,Cardio,"Mon, 18 Apr 2016 9:07 PM",8:01,,,,100.0,115.0,,59.0
